District Code,District Name,Sub-District Code,Sub-District Name,FPS Code,Fair Price Shop / Dealer Name
646,BALOD,802012,ARJUNDA,432005001,YOGESH KUMAR
646,BALOD,802012,ARJUNDA,432005002,PRAKASH KUMAR
646,BALOD,802012,ARJUNDA,432005003,LALU RAM SAHU
646,BALOD,802012,ARJUNDA,432005004,YAMINI SAHU
646,BALOD,802012,ARJUNDA,432005005,TOSHAK LAL SARADHA
646,BALOD,802012,ARJUNDA,432005006,B.L.SAHU
646,BALOD,802012,ARJUNDA,432005007,Shila Devi Patel
646,BALOD,802012,ARJUNDA,432005008,NISHA GOSHWAMI
646,BALOD,802012,ARJUNDA,432005009,BHUSAN LAL
646,BALOD,802012,ARJUNDA,432005010,BHUSHAN LAL PATEL
646,BALOD,802012,ARJUNDA,432005011,Shyama Bai Yadav
646,BALOD,802012,ARJUNDA,432005012,MALTI BHUSAKHRE
646,BALOD,802012,ARJUNDA,432005013,SIMA BAI
646,BALOD,802012,ARJUNDA,432005014,UTTRA BORAKAR
646,BALOD,802012,ARJUNDA,432005015,REKHA NISHAD
646,BALOD,802012,ARJUNDA,432005016,TAMESHWARI
646,BALOD,802012,ARJUNDA,432005017,YASHODA BAI
646,BALOD,802012,ARJUNDA,432005018,LEKHRAM SAHU
646,BALOD,802012,ARJUNDA,432005019,Vinita
646,BALOD,802012,ARJUNDA,432005020,DANESWAR PRASAD DESHAMUKH
646,BALOD,802012,ARJUNDA,432005021,Kaushilya Bai
646,BALOD,802012,ARJUNDA,432005022,Shagan Lal Sahu
646,BALOD,802012,ARJUNDA,432005023,Sita Devi patel
646,BALOD,802012,ARJUNDA,432005024,BHUSHAN LAL
646,BALOD,802012,ARJUNDA,432005025,होमलाल देवदास
646,BALOD,802012,ARJUNDA,432005026,Basant Kumar Bhatt
646,BALOD,802012,ARJUNDA,432005027,Balcharan Bhendia
646,BALOD,802012,ARJUNDA,432005028,Birbal singh bhusakhre
646,BALOD,802012,ARJUNDA,432005029,SITA SINHA
646,BALOD,802012,ARJUNDA,432005030,Priram Sahu
646,BALOD,802012,ARJUNDA,432005031,Rekha Nishad
646,BALOD,802012,ARJUNDA,432005032,अंबिका कुंजाम
646,BALOD,802012,ARJUNDA,432005033,Keshav Kumar
646,BALOD,802012,ARJUNDA,432005034,WINOD KUMAR SINHA
646,BALOD,802012,ARJUNDA,432005035,BALMUKUND SAHU
646,BALOD,802012,ARJUNDA,432005036,YASHWANT KUMAR
646,BALOD,802012,ARJUNDA,432005037,NEELAM KOTHARI
646,BALOD,802012,ARJUNDA,432005038,Omprakash Sahu
